Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Dew Point Units,DHI Units,DNI Units,GHI Units,Temperature Units,Pressure Units,Wind Direction Units,Wind Speed,Surface Albedo Units,Version
NSRDB,974527,-,-,-,31.53,-84.18,-5,56,-5,c,w/m2,w/m2,w/m2,c,mbar,Degrees,m/s,,3.2.0
Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Wind Speed,Temperature,Dew Point,Pressure,Wind Direction,Surface Albedo,,,,,,
2009,1,1,0,30,0,0,0,2.3000000000000003,1,0,1010,14,0.14,,,,,,
2009,1,1,1,30,0,0,0,2.2,0,0,1010,26,0.14,,,,,,
2009,1,1,2,30,0,0,0,2.2,0,0,1010,38,0.14,,,,,,
2009,1,1,3,30,0,0,0,2.4000000000000004,0,0,1010,47,0.14,,,,,,
2009,1,1,4,30,0,0,0,2.6,0,-1,1010,52,0.14,,,,,,
2009,1,1,5,30,0,0,0,2.8000000000000003,0,-1,1010,56,0.14,,,,,,
2009,1,1,6,30,0,0,0,3,0,-1,1010,60,0.14,,,,,,
2009,1,1,7,30,0,0,0,3.6,0,-2,1010,64,0.14,,,,,,
2009,1,1,8,30,134,39,603,4.2,1,-2,1010,68,0.14,,,,,,
2009,1,1,9,30,325,59,818,4.6000000000000005,3,-2,1010,79,0.14,,,,,,
2009,1,1,10,30,433,80,772,4.6000000000000005,6,-3,1010,87,0.14,,,,,,
2009,1,1,11,30,501,135,672,4.3,8,-2,1010,93,0.14,,,,,,
2009,1,1,12,30,632,85,943,3.8000000000000003,9,-1,1010,99,0.14,,,,,,
2009,1,1,13,30,500,170,586,3.3000000000000003,10,0,1010,102,0.14,,,,,,
2009,1,1,14,30,402,177,455,2.7,10,0,1010,102,0.14,,,,,,
2009,1,1,15,30,287,128,422,2.1,10,1,1010,101,0.14,,,,,,
2009,1,1,16,30,108,85,106,1.5,8,3,1010,95,0.14,,,,,,
2009,1,1,17,30,11,11,0,1.5,5,3,1010,85,0.14,,,,,,
2009,1,1,18,30,0,0,0,1.8,5,2,1010,84,0.14,,,,,,
2009,1,1,19,30,0,0,0,1.9000000000000001,4,2,1010,87,0.14,,,,,,
2009,1,1,20,30,0,0,0,1.9000000000000001,4,2,1010,95,0.14,,,,,,
2009,1,1,21,30,0,0,0,2,4,2,1010,105,0.14,,,,,,
2009,1,1,22,30,0,0,0,2,4,2,1010,117,0.14,,,,,,
2009,1,1,23,30,0,0,0,2,4,3,1010,123,0.14,,,,,,
2009,1,2,0,30,0,0,0,1.8,5,3,1010,126,0.14,,,,,,
2009,1,2,1,30,0,0,0,1.6,5,4,1010,130,0.14,,,,,,
2009,1,2,2,30,0,0,0,1.6,5,4,1010,136,0.14,,,,,,
2009,1,2,3,30,0,0,0,1.6,6,4,1010,141,0.14,,,,,,
2009,1,2,4,30,0,0,0,1.4000000000000001,6,5,1010,147,0.14,,,,,,
2009,1,2,5,30,0,0,0,1.2000000000000002,6,5,1010,152,0.14,,,,,,
2009,1,2,6,30,0,0,0,1,6,6,1010,158,0.14,,,,,,
2009,1,2,7,30,0,0,0,1.3,6,6,1010,162,0.14,,,,,,
2009,1,2,8,30,101,69,205,1.7000000000000002,7,6,1010,162,0.14,,,,,,
2009,1,2,9,30,272,115,483,1.9000000000000001,9,7,1010,160,0.14,,,,,,
2009,1,2,10,30,427,129,652,2.4000000000000004,12,9,1010,169,0.14,,,,,,
2009,1,2,11,30,537,126,753,3,15,12,1010,184,0.14,,,,,,
2009,1,2,12,30,586,118,804,3.4000000000000004,17,14,1010,200,0.14,,,,,,
2009,1,2,13,30,571,101,832,3.4000000000000004,18,15,1000,212,0.14,,,,,,
2009,1,2,14,30,296,227,141,3.2,19,15,1000,218,0.14,,,,,,
2009,1,2,15,30,77,77,0,2.5,18,15,1000,220,0.14,,,,,,
2009,1,2,16,30,10,10,0,1.5,16,16,1000,218,0.14,,,,,,
2009,1,2,17,30,1,1,0,1.1,14,14,1000,215,0.14,,,,,,
2009,1,2,18,30,0,0,0,1.2000000000000002,13,13,1000,214,0.14,,,,,,
2009,1,2,19,30,0,0,0,1.3,13,13,1010,211,0.14,,,,,,
2009,1,2,20,30,0,0,0,1.3,13,13,1010,208,0.14,,,,,,
2009,1,2,21,30,0,0,0,1.4000000000000001,13,13,1010,206,0.14,,,,,,
2009,1,2,22,30,0,0,0,1.4000000000000001,13,13,1010,205,0.14,,,,,,
2009,1,2,23,30,0,0,0,1.4000000000000001,13,11,1010,203,0.14,,,,,,
2009,1,3,0,30,0,0,0,1.6,13,11,1010,202,0.14,,,,,,
2009,1,3,1,30,0,0,0,1.8,13,13,1010,204,0.14,,,,,,
2009,1,3,2,30,0,0,0,1.7000000000000002,13,11,1010,207,0.14,,,,,,
2009,1,3,3,30,0,0,0,1.4000000000000001,12,11,1010,209,0.14,,,,,,
2009,1,3,4,30,0,0,0,1.2000000000000002,12,11,1010,205,0.14,,,,,,
2009,1,3,5,30,0,0,0,1.2000000000000002,12,11,1010,203,0.14,,,,,,
2009,1,3,6,30,0,0,0,1.2000000000000002,12,11,1010,203,0.14,,,,,,
2009,1,3,7,30,0,0,0,1.4000000000000001,13,12,1010,195,0.14,,,,,,
2009,1,3,8,30,13,13,0,2,15,14,1010,190,0.14,,,,,,
2009,1,3,9,30,110,110,0,2.4000000000000004,17,15,1010,190,0.14,,,,,,
2009,1,3,10,30,102,102,0,2.7,18,17,1010,192,0.14,,,,,,
2009,1,3,11,30,139,139,0,2.9000000000000004,19,17,1010,196,0.14,,,,,,
2009,1,3,12,30,178,177,1,3,20,17,1010,198,0.14,,,,,,
2009,1,3,13,30,269,242,48,2.8000000000000003,19,17,1010,197,0.14,,,,,,
2009,1,3,14,30,313,224,178,2.3000000000000003,18,17,1010,193,0.14,,,,,,
