Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Dew Point Units,DHI Units,DNI Units,GHI Units,Temperature Units,Pressure Units,Wind Direction Units,Wind Speed,Surface Albedo Units,Version
NSRDB,188360,-,-,-,43.25,-123.34,-8,261,-8,c,w/m2,w/m2,w/m2,c,mbar,Degrees,m/s,,3.2.0
Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Wind Speed,Temperature,Dew Point,Pressure,Wind Direction,Surface Albedo,,,,,,
2012,1,1,0,30,0,0,0,0.1,3,0,980,135,0.11,,,,,,
2012,1,1,1,30,0,0,0,0.1,3,0,980,126,0.11,,,,,,
2012,1,1,2,30,0,0,0,0.1,2,0,980,122,0.11,,,,,,
2012,1,1,3,30,0,0,0,0.1,2,0,980,121,0.11,,,,,,
2012,1,1,4,30,0,0,0,0.1,3,0,980,120,0.11,,,,,,
2012,1,1,5,30,0,0,0,0.1,3,0,980,119,0.11,,,,,,
2012,1,1,6,30,0,0,0,0.1,3,0,980,119,0.11,,,,,,
2012,1,1,7,30,0,0,0,0.1,3,0,980,119,0.11,,,,,,
2012,1,1,8,30,42,36,60,0,4,0,980,121,0.11,,,,,,
2012,1,1,9,30,208,52,670,0,6,1,980,119,0.11,,,,,,
2012,1,1,10,30,319,62,776,0,9,2,980,118,0.11,,,,,,
2012,1,1,11,30,299,136,418,0,11,4,980,116,0.11,,,,,,
2012,1,1,12,30,271,166,261,0,12,6,980,116,0.11,,,,,,
2012,1,1,13,30,294,124,459,0,12,7,980,117,0.11,,,,,,
2012,1,1,14,30,173,117,192,0,11,8,980,117,0.11,,,,,,
2012,1,1,15,30,55,55,0,0,9,8,980,120,0.11,,,,,,
2012,1,1,16,30,8,8,0,0,7,6,980,124,0.11,,,,,,
2012,1,1,17,30,0,0,0,0,7,4,980,129,0.11,,,,,,
2012,1,1,18,30,0,0,0,0,6,4,980,137,0.11,,,,,,
2012,1,1,19,30,0,0,0,0,6,3,980,135,0.11,,,,,,
2012,1,1,20,30,0,0,0,0,6,3,980,132,0.11,,,,,,
2012,1,1,21,30,0,0,0,0,5,2,980,133,0.11,,,,,,
2012,1,1,22,30,0,0,0,0,5,1,980,134,0.11,,,,,,
2012,1,1,23,30,0,0,0,0,5,1,980,134,0.11,,,,,,
2012,1,2,0,30,0,0,0,0,5,1,980,136,0.11,,,,,,
2012,1,2,1,30,0,0,0,0,4,0,980,137,0.11,,,,,,
2012,1,2,2,30,0,0,0,0,4,0,980,137,0.11,,,,,,
2012,1,2,3,30,0,0,0,0,4,0,980,140,0.11,,,,,,
2012,1,2,4,30,0,0,0,0,4,0,980,140,0.11,,,,,,
2012,1,2,5,30,0,0,0,0,4,1,980,136,0.11,,,,,,
2012,1,2,6,30,0,0,0,0,3,1,980,137,0.11,,,,,,
2012,1,2,7,30,0,0,0,0,4,0,980,146,0.11,,,,,,
2012,1,2,8,30,5,5,0,0.1,6,1,980,160,0.11,,,,,,
2012,1,2,9,30,11,11,0,0.1,8,3,980,175,0.11,,,,,,
2012,1,2,10,30,314,60,765,0.1,9,5,980,182,0.11,,,,,,
2012,1,2,11,30,380,68,802,0.1,10,7,980,190,0.11,,,,,,
2012,1,2,12,30,253,172,200,0.1,11,8,980,199,0.11,,,,,,
2012,1,2,13,30,225,158,178,0.1,11,8,980,204,0.11,,,,,,
2012,1,2,14,30,198,108,306,0.1,10,8,980,206,0.11,,,,,,
2012,1,2,15,30,7,7,0,0,9,7,980,208,0.11,,,,,,
2012,1,2,16,30,22,15,198,0,8,7,980,206,0.11,,,,,,
2012,1,2,17,30,0,0,0,0,8,6,990,199,0.11,,,,,,
2012,1,2,18,30,0,0,0,0,8,6,990,195,0.11,,,,,,
2012,1,2,19,30,0,0,0,0,7,6,990,190,0.11,,,,,,
2012,1,2,20,30,0,0,0,0,7,4,990,186,0.11,,,,,,
2012,1,2,21,30,0,0,0,0,7,4,990,180,0.11,,,,,,
2012,1,2,22,30,0,0,0,0,7,4,990,176,0.11,,,,,,
2012,1,2,23,30,0,0,0,0,7,4,990,177,0.11,,,,,,
2012,1,3,0,30,0,0,0,0,6,4,990,175,0.11,,,,,,
2012,1,3,1,30,0,0,0,0,6,4,990,173,0.11,,,,,,
2012,1,3,2,30,0,0,0,0,6,4,990,171,0.11,,,,,,
2012,1,3,3,30,0,0,0,0,6,4,990,168,0.11,,,,,,
2012,1,3,4,30,0,0,0,0,6,4,990,158,0.11,,,,,,
2012,1,3,5,30,0,0,0,0,5,4,990,146,0.11,,,,,,
2012,1,3,6,30,0,0,0,0,5,4,990,146,0.11,,,,,,
2012,1,3,7,30,0,0,0,0,5,4,990,137,0.11,,,,,,
2012,1,3,8,30,71,28,430,0,5,4,990,141,0.11,,,,,,
2012,1,3,9,30,202,48,657,0,7,4,990,139,0.11,,,,,,
2012,1,3,10,30,313,55,774,0,9,5,990,142,0.11,,,,,,
2012,1,3,11,30,381,57,827,0,10,5,990,148,0.11,,,,,,
2012,1,3,12,30,395,60,826,0,11,6,990,169,0.11,,,,,,
2012,1,3,13,30,355,62,784,0,12,6,990,186,0.11,,,,,,
2012,1,3,14,30,164,121,144,0,11,8,990,186,0.11,,,,,,
2012,1,3,15,30,58,58,0,0.2,9,7,990,169,0.11,,,,,,
2012,1,3,16,30,9,9,0,0.30000000000000004,7,4,990,161,0.11,,,,,,
2012,1,3,17,30,0,0,0,0.1,7,4,990,155,0.11,,,,,,
2012,1,3,18,30,0,0,0,0,7,4,990,149,0.11,,,,,,
2012,1,3,19,30,0,0,0,0,6,4,990,144,0.11,,,,,,
2012,1,3,20,30,0,0,0,0,6,4,990,139,0.11,,,,,,
2012,1,3,21,30,0,0,0,0,6,3,990,136,0.11,,,,,,
2012,1,3,22,30,0,0,0,0,6,3,990,132,0.11,,,,,,
2012,1,3,23,30,0,0,0,0,6,3,990,129,0.11,,,,,,
2012,1,4,0,30,0,0,0,0,6,2,990,130,0.11,,,,,,
2012,1,4,1,30,0,0,0,0,6,3,990,134,0.11,,,,,,
2012,1,4,2,30,0,0,0,0,6,3,990,139,0.11,,,,,,
2012,1,4,3,30,0,0,0,0,6,3,990,141,0.11,,,,,,
2012,1,4,4,30,0,0,0,0,6,3,990,143,0.11,,,,,,
2012,1,4,5,30,0,0,0,0,6,3,990,146,0.11,,,,,,
2012,1,4,6,30,0,0,0,0,6,3,990,152,0.11,,,,,,
2012,1,4,7,30,0,0,0,0.1,6,3,990,153,0.11,,,,,,
2012,1,4,8,30,73,29,439,0,7,3,990,150,0.11,,,,,,
2012,1,4,9,30,209,49,683,0,9,3,990,151,0.11,,,,,,
2012,1,4,10,30,249,112,411,0,11,4,990,157,0.11,,,,,,
2012,1,4,11,30,317,124,491,0.1,12,5,990,176,0.11,,,,,,
2012,1,4,12,30,355,102,624,0.1,13,5,990,188,0.11,,,,,,
2012,1,4,13,30,268,144,332,0,13,6,990,194,0.11,,,,,,
2012,1,4,14,30,157,123,112,0,12,7,990,201,0.11,,,,,,
2012,1,4,15,30,53,53,0,0,11,7,990,203,0.11,,,,,,
2012,1,4,16,30,8,8,0,0,10,7,990,202,0.11,,,,,,
2012,1,4,17,30,0,0,0,0,10,7,990,197,0.11,,,,,,
2012,1,4,18,30,0,0,0,0,10,7,990,195,0.11,,,,,,
2012,1,4,19,30,0,0,0,0,9,7,990,198,0.11,,,,,,
