Project Size (MW),Total Acreage,ILR,Efficiency,System Cost,$/m2 based on acreage
2,9.66,1.1,10%,1.738093436,88.9025246
2,8.78,1.1,11%,1.647809315,92.71209611
2,8.05,1.1,12%,1.577133986,96.80344455
2,7.43,1.1,13%,1.519320404,101.0290657
2,6.9,1.1,14%,1.461021675,104.6206088
2,6.44,1.1,15%,1.415323389,108.589521
2,6.04,1.1,16%,1.379994264,112.9287535
2,5.68,1.1,17%,1.340521032,116.5547089
2,5.37,1.1,18%,1.309824132,120.5871938
2,5.08,1.1,19%,1.281727327,124.5693751
2,4.83,1.1,20%,1.255855803,128.4726691
2,4.6,1.1,21%,1.237294921,132.891004
2,4.39,1.1,22%,1.213422513,136.5290751
2,4.2,1.1,23%,1.19219819,140.2464867
2,4.03,1.1,24%,1.177115491,144.501146
2,3.86,1.1,25%,1.163404157,148.7759256
2,3.72,1.1,26%,1.142958502,151.9856745
2,3.58,1.1,27%,1.131348127,156.2340613
2,3.45,1.1,28%,1.118854914,160.2158116
2,3.33,1.1,29%,1.106437722,164.0977979
2,3.22,1.1,30%,1.095537071,168.1083583
2,3.12,1.1,31%,1.086058358,172.2173478
2,3.02,1.1,32%,1.075436355,175.9845582
2,2.93,1.1,33%,1.065256596,179.7871265
2,2.84,1.1,34%,1.061537838,184.5957365
2,2.76,1.1,35%,1.051668254,188.2820203
2,2.68,1.1,36%,1.043835904,192.1651378
2,2.61,1.1,37%,1.034522406,195.7826369
2,2.54,1.1,38%,1.031866369,200.5344765
2,2.48,1.1,39%,1.023003483,204.0775979
2,2.42,1.1,40%,1.015802182,207.8308948
2,9.66,1.3,10%,1.657630646,84.78689706
2,8.78,1.3,11%,1.566513852,88.13810039
2,8.05,1.3,12%,1.496671195,91.8646915
2,7.43,1.3,13%,1.438024586,95.62320101
2,6.9,1.3,14%,1.379726301,98.79922255
2,6.44,1.3,15%,1.334027837,102.3521867
2,6.04,1.3,16%,1.298699423,106.2761714
2,5.68,1.3,17%,1.259226192,109.4863405
2,5.37,1.3,18%,1.229361826,113.17954
2,5.08,1.3,19%,1.201264133,116.7492642
2,4.83,1.3,20%,1.175393013,120.241414
2,4.6,1.3,21%,1.156832858,124.2490188
2,4.39,1.3,22%,1.132960691,127.4758575
2,4.2,1.3,23%,1.111735885,130.7811513
2,4.03,1.3,24%,1.096652701,134.6236399
2,3.86,1.3,25%,1.082940963,138.486306
2,3.72,1.3,26%,1.062496519,141.2861883
2,3.58,1.3,27%,1.050885821,145.1225807
2,3.45,1.3,28%,1.038393416,148.694028
2,3.33,1.3,29%,1.025976143,152.1643943
2,3.22,1.3,30%,1.01507428,155.7614757
2,3.12,1.3,31%,1.005595163,159.4582195
2,3.02,1.3,32%,0.994975503,162.8179329
2,2.93,1.3,33%,0.983962111,166.0667685
2,2.84,1.3,34%,0.980242997,170.4589997
2,2.76,1.3,35%,0.97120506,173.8765528
2,2.68,1.3,36%,0.962542485,177.1994128
2,2.61,1.3,37%,0.954059777,180.555141
2,2.54,1.3,38%,0.950572061,184.7356173
2,2.48,1.3,39%,0.942540451,188.026135
2,2.42,1.3,40%,0.935339392,191.3683846
2,9.66,1.4,10%,1.5805961,80.84662236
2,8.78,1.4,11%,1.489729896,83.81793939
2,8.05,1.4,12%,1.418572565,87.07104905
2,7.43,1.4,13%,1.36035245,90.45829751
2,6.9,1.4,14%,1.30168289,93.21070228
2,6.44,1.4,15%,1.255680454,96.34104828
2,6.04,1.4,16%,1.220090494,99.84338498
2,5.68,1.4,17%,1.180379417,102.6308249
2,5.37,1.4,18%,1.149474185,105.824792
2,5.08,1.4,19%,1.121188948,108.9668634
2,4.83,1.4,20%,1.095149924,112.0326342
2,4.6,1.4,21%,1.076442031,115.6146847
2,4.39,1.4,22%,1.053263003,118.5086169
2,4.2,1.4,23%,1.031909762,121.3906546
2,4.03,1.4,24%,1.015878869,124.7079509
2,3.86,1.4,25%,1.002062219,128.1435461
2,3.72,1.4,26%,0.982349862,130.6286328
2,3.58,1.4,27%,0.969799353,133.924906
2,3.45,1.4,28%,0.957223607,137.0708168
2,3.33,1.4,29%,0.944727229,140.1142195
2,3.22,1.4,30%,0.933750818,143.2825244
2,3.12,1.4,31%,0.924203256,146.5518244
2,3.02,1.4,32%,0.913521151,149.4887311
2,2.93,1.4,33%,0.903278131,152.4494476
2,2.84,1.4,34%,0.898672283,156.2742901
2,2.76,1.4,35%,0.889578863,159.2628711
2,2.68,1.4,36%,0.881700598,162.3168126
2,2.61,1.4,37%,0.87233377,165.0885518
2,2.54,1.4,38%,0.868804388,168.8447636
2,2.48,1.4,39%,0.860727066,171.7052922
2,2.42,1.4,40%,0.853484427,174.6210386
